title,logline
"The Hollow Feast","Chef Theo Varn, a culinary genius hiding his anorexia, crafts dishes that manipulate emotions in a psychological thriller, but restaurateur Lila Crane seeks to mass-produce his recipes for control. As Theo cooks in a claustrophobic kitchen empire, he uncovers a flavor that could heal—or destroy—his fractured mind."
"The Lantern Keeper’s Shadow","In a dark fairy tale, blind orphan Kiv, who tends a lighthouse guiding lost souls, fears her own insignificance, until pirate queen Mara steals its eternal flame to conquer death. Kiv’s journey across storm-lashed cliffs reveals her shadow’s secret power to reshape fate."
"The Dust Prophet","Nomad Zara Kesh, a reluctant seer in a desert dystopia, foretells ruin through sand visions, clashing with warlord Dax, who’d chain her gift to his empire. Her flight through dunes and buried cities unearths a relic amplifying her prophecies—perhaps too late to save her people."
"The Velvet Crucible","Ballroom dancer Ivy Wren, scarred by betrayal, seeks redemption in a historical romance, partnering with rival lord Edmund Vex, who hides a plot to overthrow their 1920s elite. Their waltz through chandeliered halls exposes a locket tying their pasts to revolution."
"The Iron Songbird","Aviator Lena Holt, a WWII mechanic with a fear of heights, restores a plane that sings in a historical fantasy, pursued by Nazi occultist Klaus Ritter, who’d wield its music as a weapon. Her flight over war-torn skies reveals the plane’s soul—and her own courage."
"The Shattered Compass","Pirate captain Milo Creed, a navigator broken by mutiny, hunts a mythical compass in a swashbuckling adventure, clashing with rival corsair Isolde Vane, who’d claim its power to rule the seas. Their chase through tempestuous waters uncovers a map etched in Milo’s scars, pointing to a treasure he may not survive."
"The Whispering Hive","Beekeeper Tamsin Rye, a recluse scarred by loss, tends sentient bees in a rural horror, until agribusiness tycoon Victor Hale poisons them to seize her land. As the hive’s hum reveals a vengeful queen, Tamsin’s fight through golden fields becomes a descent into nature’s wrath."
"The Gilded Cage","Opera singer Clara Voss, trapped by stage fright, performs in a gilded dystopia where music enslaves, defying dictator Regent Voss—her own father—who’d silence her rebellion. Her aria through mirrored halls shatters a crystal key to freedom, at the cost of her voice."
"The Ember Waltz","In a gaslamp fantasy, thief Ember Quinn, haunted by her burned homeland, steals enchanted jewels, pursued by alchemist Lord Sable, who’d fuse them into a world-ending flame. Her dance through shadowed ballrooms unveils her own fiery lineage—and a choice to save or doom all."
"The Silent Monarch","Teen king Asa Wren, mute from trauma, rules a crumbling kingdom in a YA fantasy, facing warlord General Korr, who’d exploit his silence to usurp the throne. Asa’s quest for a lost crown that speaks unearths his voice—and a betrayal in his court."
"The Fractured Lens","Photographer Jude Marr, a cynic hiding his hope, captures alternate histories in a surreal mystery, hunted by curator Elise Dray, who’d erase his negatives to bury the past. His lens-focused trek through foggy cities reveals a frame that could rewrite time."
"The Crimson Tide","Surfer Kai Lorne, a drifter fleeing his family’s cult, rides waves that predict disasters in a coastal thriller, clashing with oceanographer Dr. Vey, who’d harness them for power. Kai’s board carves through blood-red waters to a buoy holding his redemption—or his doom."
"The Starlit Forge","Blacksmith Rhea Torm, a widow craving purpose, crafts celestial weapons in a mythic sci-fi, defying warlord Xar, who’d wield them to conquer the galaxy. Her hammer strikes on a lunar anvil reveal a blade tied to her husband’s lost soul."
"The Mirror’s Keeper","Antiquarian Leo Vint, obsessed with perfection, guards a mirror showing true selves in a literary horror, until collector Mara Kesh shatters it to unleash chaos. Leo’s search through dusty manors pieces together his own fractured reflection."
"The Tidal Reckoning","Fisherman Cal Drift, a loner with a buried past, nets a siren’s heart in a nautical fantasy, pursued by pirate lord Zane, who’d use it to command the deep. Cal’s voyage through churning seas reveals the heart’s song—and his own drowned guilt."
"The Forgotten Score","Composer Ana Pym, a prodigy lost to obscurity, writes music that bends time in a speculative drama, facing maestro Victor Sable, who’d steal it to live forever. Her notes in a derelict theater unveil a symphony to reclaim her legacy."
"The Raven’s Ledger","Accountant Wren Cole, a skeptic of magic, balances books that curse debtors in an urban fantasy, clashing with mob boss Lila Vex, who’d wield them to rule the underworld. Wren’s tally through smoky speakeasies reveals a debt she owes herself."
"The Sapphire Abyss","Diver Tora Kesh, a thrill-seeker hiding her grief, explores a sunken city in an adventure thriller, hunted by treasure hunter Dax Vane, who’d plunder its core—a glowing orb. Her plunge through coral ruins uncovers her father’s lost fate."
"The Hollow Spire","Climber Elias Thorn, a recluse fearing failure, scales a sentient tower in a survival epic, facing architect Seris, who’d trap him in its peak to guard its secrets. Elias’s ascent through twisting stone reveals a pinnacle that mirrors his soul."
"The Ghostwriter’s Quill","Writer Mira Holt, a recluse with writer’s block, pens tales that come alive in a metafiction mystery, pursued by editor Klaus Dray, who’d publish them to trap her mind. Her ink-stained desk births a story to free her—or bind her forever."
"The Withered Crown","Princess Senna Vey, a rebel doubting her worth, seeks a crown that heals in a high fantasy, defying sorcerer Torvyn, who’d corrupt it to rule. Her march through blighted lands unveils a throne she must claim—or destroy."
"The Static Veil","DJ Ryn Voss, a burnout craving silence, broadcasts signals that wake the dead in a paranormal thriller, clashing with preacher Zero, who’d use them to judge the living. Her airwaves over a desert town crackle with her own buried sins."
"The Warden’s Loom","Weaver Kael Marrow, a prisoner seeking freedom, stitches tapestries that shift fate in a dystopian fantasy, hunted by warden Gavric, who’d unravel them for control. Kael’s threads in a bleak cell weave a rebellion—or his end."
"The Cobalt Paradox","Pilot Jude Korr, a cynic fearing love, flies a ship that jumps timelines in a space opera, facing admiral Elise Vint, who’d lock him in one to win a war. His cockpit across starfields locks onto a signal from his lost heart."
"The Painted Abyss","Artist Tamsin Rye, a dreamer hiding pain, paints portals to other worlds in a surreal YA tale, pursued by gallerist Victor Hale, who’d sell them to trap souls. Her brushstrokes in a neon attic open a door she can’t close."
"The Iron Harvest","Farmer Asa Holt, a widower seeking peace, grows crops that whisper secrets in a rural fantasy, clashing with tycoon Mara Kesh, who’d harvest them for profit. His fields under a blood moon yield a truth that could save his land."
"The Shattered Aria","Soprano Ivy Pym, a diva with a broken past, sings notes that shatter glass in a historical thriller, hunted by impresario Edmund Sable, who’d weaponize her voice. Her stage in 1890s Paris cracks open a melody of revenge."
"The Obsidian Circuit","Coder Rhea Torm, a loner fearing trust, builds an AI that predicts crimes in a tech noir, facing CEO Xar, who’d turn it into a surveillance god. Her server room in a stormy high-rise sparks a code to free her creation."
"The Verdant Blade","Ranger Senna Wren, a protector with a dark secret, wields a sword grown from vines in an eco-fantasy, defying poacher Dax Vane, who’d cut it for power. Her trek through a living forest carves a path to her own roots."
"The Clockwork Tide","Engineer Cal Drift, a tinkerer haunted by loss, builds a boat that sails time in a steampunk adventure, pursued by admiral Zane, who’d steer it to conquer history. His gears on open water turn back to a day he can’t forget."
"The Silent Forge","Smith Elias Cole, a mute seeking purpose, hammers armor that speaks in a mythic tale, clashing with warlord Seris, who’d wear it to silence all. His anvil in a mountain cave sparks a voice he never knew."
"The Gilded Thorn","Spy Tora Lorne, a charmer hiding shame, infiltrates a court with a rose that kills in a political intrigue, facing queen Lila Vex, who’d prune her to keep power. Her dance through marble halls pricks a plot she can’t escape."
"The Echoing Vault","Archaeologist Kai Marr, a skeptic of faith, unearths a tomb that traps sound in an adventure horror, hunted by cultist Victor Dray, who’d unleash its screams. His dig in desert sands echoes a curse tied to his blood."
"The Wraith’s Compass","Sailor Wren Holt, a drifter with no home, steers by a compass that finds ghosts in a nautical mystery, clashing with captain Klaus Ritter, who’d follow it to the dead. Her helm on foggy seas points to a shore she dreads."
"The Crimson Loom","Tailor Ana Vey, a widow craving closure, sews cloth that binds souls in a gothic romance, pursued by noble Torvyn, who’d wear it to cheat death. Her needle in a shadowed manor stitches a love she lost."
"The Starborn Key","Astronaut Jude Torm, a loner fearing the void, finds a lock in space that opens worlds in a hard sci-fi, facing commander Mara Kesh, who’d seal it to stay safe. His orbit around a dying star unlocks a galaxy he can’t leave."
"The Hollow Muse","Poet Ryn Pym, a recluse with no words, writes verses that summon shadows in a literary fantasy, hunted by critic Zero, who’d burn them to kill art. Her quill in a rainy garret pens a muse she must face."
"The Ashen Tide","Survivor Senna Korr, a fighter hiding hope, sails an ocean of ash in a post-apocalyptic epic, defying raider Gavric, who’d claim her raft for power. Her paddle through gray waves finds an island of her past."
"The Velvet Abyss","Dancer Kael Voss, a dreamer with scars, leaps into mirrors that shift worlds in a surreal thriller, pursued by choreographer Elise Vint, who’d trap him in one. His studio of glass reflects a step he can’t take back."
"The Iron Quill","Scribe Asa Marrow, a cynic seeking truth, pens laws that bind magic in a legal fantasy, clashing with mage Xar, who’d rewrite them for chaos. His desk in a stone library drafts a rule to free his mind."
"The Whispering Reef","Diver Tamsin Wren, a loner with guilt, swims a reef that talks in a marine mystery, hunted by scientist Victor Hale, who’d silence it for study. Her fins in turquoise depths hear a call she can’t ignore."
"The Shattered Helm","Knight Cal Thorn, a hero doubting honor, wears armor that cracks fate in a medieval epic, facing lord Dax Vane, who’d mend it for war. His sword on a battlefield breaks a vow he must keep."
"The Obsidian Song","Singer Ivy Holt, a star fearing fade, hums a tune that traps time in a music drama, pursued by producer Lila Crane, who’d sell it for fame. Her mic in a sleek studio holds a note she can’t release."
"The Verdant Echo","Botanist Rhea Kesh, a healer with regrets, grows plants that mimic voices in a bio-thriller, clashing with CEO Seris, who’d patent them for lies. Her greenhouse in a dying city blooms a sound she dreads."
"The Clockwork Veil","Clockmaker Elias Vey, a recluse with no past, builds a clock that hides truths in a steampunk mystery, hunted by spy Mara Kesh, who’d wind it for secrets. His workshop in foggy streets ticks to a lie he lives."
"The Silent Tide","Fisher Tora Cole, a mourner seeking peace, nets a fish that grants wishes in a folk fantasy, facing merchant Zane, who’d sell it for gold. Her boat on still waters catches a hope she can’t hold."
"The Gilded Abyss","Thief Kai Pym, a rogue with no trust, steals a gem that shows futures in a heist adventure, pursued by gangster Victor Dray, who’d trade it for power. His vault in a glitzy city shines on a fate he fears."
"The Echoing Forge","Smith Wren Torm, a dreamer lost to grief, hammers steel that sings pain in a mythic drama, clashing with chief Klaus Ritter, who’d forge it for war. Her bellows in a dark valley ring with a loss she crafts."
"The Wraith’s Ledger","Clerk Senna Lorne, a skeptic of fate, tallies debts that summon spirits in an urban horror, hunted by boss Elise Vint, who’d balance them for control. Her ledger in a dim office counts a soul she owes."
"The Crimson Vault","Guard Ana Korr, a loner with doubts, locks a door that bleeds in a suspense fantasy, facing prisoner Torvyn, who’d open it for freedom. Her keys in a stone prison guard a red she can’t wash off."
