title,logline
"Steel Horizon","A retired gunslinger in a cyber-western world takes one last job to save her town, facing a robotic posse built from her old enemies."
"The Forgotten Score","A composer’s lost symphony resurfaces, driving listeners mad, and his granddaughter must destroy it before it consumes her too."
"Winds of War","A kite-flying orphan in a besieged city discovers her creations can spy for the resistance, uncovering a traitor in their ranks."
"The Amber Prison","A scientist trapped in a prehistoric mosquito fossil relives its memories, piecing together a cure for a modern plague from its DNA."
"Veil of Dreams","A lucid dreamer enters others’ minds to steal secrets, until she’s hired to infiltrate a comatose dictator’s head and ends up trapped."
"The Silent Regiment","A WWI soldier cursed with immortality leads a squad of ghosts, seeking a battlefield relic that could finally let them rest."
"Feathers and Flame","A phoenix tamer in a desert circus betrays her troupe to free her bird, igniting a chase across a world that fears her power."
"The Mirror Thief","A con artist steals a mirror that shows alternate lives, using it to outwit a crime lord—until it reveals her own death."
"Beneath the Ice","An Antarctic researcher finds a lost city under the ice, battling madness as its inhabitants whisper promises of eternal life."
"The Last Harvest","A farmer in a drought-ravaged future grows a crop that could feed the world, but it’s guarded by a sentient scarecrow with a deadly secret."
"Strings of Eternity","A violinist cursed to replay her life’s worst day finds a string that rewinds time, racing to break the loop before it unravels her soul."
"The Warden’s Key","A prisoner in a floating jail discovers a key that unlocks any door, leading an escape that reveals the prison is alive and vengeful."
"Tides of Memory","A retired mermaid hunter with amnesia dives back into the sea, finding her past tied to a sunken kingdom plotting revenge on land."
