
ISBN or SKU 	must be string
USPL1 Suggested List Price (mode 2)	19.95
USPL1 Wholesale Discount % (Mode 2)	40
USKR1 Suggested List Price (mode 2)	19.95
USKR1 Wholesale Discount % (Mode 2)	40
USCN1 Suggested List Price (mode 2)	19.95
USCN1 Wholesale Discount % (Mode 2)	40
USIN1 Suggested List Price (mode 2)	19.95
USIN1 Wholesale Discount % (Mode 2)	40
USJP2 Suggested List Price(mode 2)	19.95
USJP2 Wholesale Discount % (Mode 2)	40
UAEUSD Suggested List Price (mode 2)	19.95
UAEUSD Wholesale Discount % (Mode 2)	40
US-Ingram-Only* Suggested List Price (mode 2)
US-Ingram-Only* Wholesale Discount % (Mode 2)	40
US - Ingram - GAP * Suggested List Price (mode 2)
US - Ingram - GAP * Wholesale Discount % (Mode 2)	40
SIBI - EDUC - US * Suggested List Price (mode 2)
SIBI - EDUC - US * Wholesale Discount % (Mode 2)	40




















































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































