name,born,species,timeline,realness,latitude,longitude,nearest_city,country_code,backstory,fourwordsname,invisible_comments
Alboin,530s,sapiens,ours,authenticated,44.9,19.02,Pannonia,HU,Politician,nicolas-gleason-henrick-hildenbrand,Pantheon
Afonso de Albuquerque,1453,sapiens,ours,authenticated,38.95,-8.983333,Vila Franca de Xira,PT,Nobleman,bonnet-dibbert-emilio-polizzi,Pantheon
Alcaeus,-620,sapiens,ours,authenticated,39.1,26.55,Mytilene,GR,Writer,menard-ryan-frida-helm,Pantheon
Alexander Balas,-200,sapiens,ours,authenticated,38.418611,27.139167,Izmir,TR,Politician,adam-rippin-furkan-schmalzle,Pantheon
Alexander II of Russia,1818,sapiens,ours,authenticated,,,Moscow,RU,Politician,perez-klocko-jeremias-weber,Pantheon
Alexander III of Russia,1845,sapiens,ours,authenticated,59.95,30.3,Saint Petersburg,RU,Politician,faure-emmerich-niels-piesker,Pantheon
Alexander I of Scotland,1078,sapiens,ours,authenticated,56.07192,-3.4393,Dunfermline,GB,Politician,caron-mante-madeleine-amann,Pantheon
Alexander II of Scotland,1198,sapiens,ours,authenticated,55.955621,-2.778815,Haddington,GB,Politician,morel-collier-dylan-naumann,Pantheon
Alexander I of Serbia,1876,sapiens,ours,authenticated,44.816667,20.466667,Belgrade,RS,Politician,dubois-auer-mariam-polifka,Pantheon
Alexander III of Scotland,1241,sapiens,ours,authenticated,55.5965,-2.4562,Roxburgh,GB,Politician,chevalier-hane-dorian-winkler,Pantheon
Alexander Severus,208,sapiens,ours,authenticated,34.530556,36.045833,Akkar,LB,Politician,lemoine-mosciski-tuana-strunz,Pantheon
Alexios I Komnenos,1048,sapiens,ours,authenticated,41,28.966667,Istanbul,TR,Politician,andre-cormier-torben-lamos,Pantheon
Alexios II Komnenos,1169,sapiens,ours,authenticated,41.01224,28.976018,Istanbul,TR,Politician,renaud-moore-valentina-biedermann,Pantheon
Alexios III Angelos,1153,sapiens,ours,authenticated,,,Istanbul,TR,Politician,rousseau-fadel-ecrin-koester,Pantheon
Alexios V,1150,sapiens,ours,authenticated,,,Other,UNK,Politician,lemoine-morissette-karlotta-astafei,Pantheon
Andrew Jackson,1767,sapiens,ours,authenticated,,,"Waxhaw, NC",US,Politician,duval-howe-benjamin-knippel,Pantheon
Andrew Johnson,1808,sapiens,ours,authenticated,35.780556,-78.638889,"Raleigh, NC",US,Politician,carre-welch-lino-wujak,Pantheon
Aleksandr Solzhenitsyn,1918,sapiens,ours,authenticated,43.916667,42.716667,Kislovodsk,RU,Writer,huet-turcotte-fabian-huber,Pantheon
Alfred the Great,849,sapiens,ours,authenticated,51.589,-1.427,Oxfordshire,GB,Politician,da-silva-parker-ludwig-kramer,Pantheon
Ibn al-Haitham,965,sapiens,ours,authenticated,30.5,47.816667,Basra,IQ,Physicist,jean-kirlin-etienne-radtke,Pantheon
Alyattes II,-619,sapiens,ours,authenticated,,,Other,UNK,Politician,nguyen-hessel-marko-stoppler,Pantheon
Amalasuntha,495,sapiens,ours,authenticated,,,Tuscany,IT,Companion,renaud-moore-ron-uhrig,Pantheon
Afonso I of Portugal,1109,sapiens,ours,authenticated,41.45,-8.3,Guimarães,PT,Politician,lucas-kertzmann-christian-fricke,Pantheon
Afonso II of Portugal,1185,sapiens,ours,authenticated,40.211111,-8.429167,Coimbra,PT,Politician,huet-turcotte-janine-margis,Pantheon
Afonso III of Portugal,1210,sapiens,ours,authenticated,40.211111,-8.429167,Coimbra,PT,Politician,louis-predovic-carlotta-stern,Pantheon
Afonso IV of Portugal,1291,sapiens,ours,authenticated,38.713889,-9.139444,Lisbon,PT,Politician,garcia-boyle-lennert-lammert,Pantheon
Afonso V of Portugal,1432,sapiens,ours,authenticated,38.797778,-9.390833,Sintra,PT,Politician,moreau-beier-amanda-uhlemann,Pantheon
Alfonso XII of Spain,1857,sapiens,ours,authenticated,40.4,-3.683333,Madrid,ES,Politician,perrot-wisozk-dominic-umbach,Pantheon
Alfonso XIII of Spain,1886,sapiens,ours,authenticated,40.4,-3.683333,Madrid,ES,Politician,olivier-orn-celina-bremser,Pantheon
Alfonso V of Aragon,1396,sapiens,ours,authenticated,41.3,-4.916667,Medina del Campo,ES,Politician,lacroix-o-hara-samantha-gunkel,Pantheon
Ambiorix,-100,sapiens,ours,authenticated,,,Other,BE,Politician,olivier-osinski-marko-aigner,Pantheon
Abu Bakr,573,sapiens,ours,authenticated,21.416667,39.816667,Mecca,SA,Religious Figure,dupont-dach-heidi-soboll,Pantheon
Ananda,-573,sapiens,ours,authenticated,,,Other,UNK,Religious Figure,garnier-ebert-francesco-oschkenat,Pantheon
Anaxagoras,-500,sapiens,ours,authenticated,38.358167,26.767583,Clazomenae,TR,Philosopher,nguyen-herzog-jona-smieja,Pantheon
Anaximenes of Miletus,-585,sapiens,ours,authenticated,37.530278,27.278333,Miletus,TR,Philosopher,fournier-champlin-loris-greschner,Pantheon
Ancus Marcius,-700,sapiens,ours,authenticated,,,Rome,IT,Politician,moulin-rolfson-jannik-kahlert,Pantheon
Andrew II of Hungary,1177,sapiens,ours,authenticated,47.785556,18.740278,Esztergom,HU,Politician,fontaine-halvorson-christina-lukoschek,Pantheon
Andronikos III Palaiologos,1297,sapiens,ours,authenticated,41.01224,28.976018,Istanbul,TR,Politician,renaud-mohr-angelo-dorner,Pantheon
Andronikos II Palaiologos,1259,sapiens,ours,authenticated,40.429167,29.721111,İznik,TR,Politician,boyer-hickle-malena-hordt,Pantheon
Andronikos I Komnenos,1118,sapiens,ours,authenticated,41.01224,28.976018,Istanbul,TR,Politician,chevalier-hane-adriano-diezel,Pantheon
Ammianus Marcellinus,320,sapiens,ours,authenticated,36.2,36.15,Antioch,TR,Writer,caron-marks-ines-marten,Pantheon
Apuleius,120,sapiens,ours,authenticated,,,Madaurus,DZ,Writer,richard-batz-leon-rentz,Pantheon
Alexander Selkirk,1676,sapiens,ours,authenticated,56.214,-2.941,Lower Largo,GB,Pirate,lucas-kessler-justine-habel,Pantheon
Arnold Schwarzenegger,1947,sapiens,ours,authenticated,47.078333,15.354167,Thal,AT,Actor,philippe-nicolas-talia-kleiss,Pantheon
Adam Smith,1723,sapiens,ours,authenticated,56.11073,-3.16737,Kirkcaldy,GB,Economist,marty-yundt-konrad-saumweber,Pantheon
Antoine Lavoisier,1743,sapiens,ours,authenticated,48.8567,2.3508,Paris,FR,Chemist,remy-williamson-celina-kaczmarek,Pantheon
Amitabh Bachchan,1942,sapiens,ours,authenticated,25.45,81.85,Allahabad,IN,Actor,david-brakus-collien-thomas,Pantheon
Agathocles of Syracuse,-361,sapiens,ours,authenticated,37.5,14,Sicily,IT,Politician,lacroix-o-hara-catharina-nwachukwu,Pantheon
Augustin Louis Cauchy,1789,sapiens,ours,authenticated,48.8567,2.3508,Paris,FR,Mathematician,garnier-durgan-joshua-tepper,Pantheon
Archimedes,-287,sapiens,ours,authenticated,37.083333,15.283333,Syracuse,IT,Mathematician,philippe-nicolas-stella-prah,Pantheon
Alfred Jarry,1873,sapiens,ours,authenticated,48.0733,-0.7689,Laval,FR,Writer,mercier-crooks-theodor-koehl,Pantheon
Anthemius of Tralles,474,sapiens,ours,authenticated,37.848056,27.845278,Aydın,TR,Mathematician,cousin-ziemann-marleen-wollmann,Pantheon
Alessandro Volta,1745,sapiens,ours,authenticated,45.816667,9.083333,Como,IT,Physicist,lacroix-o-hara-jenna-christ,Pantheon
Alexander Fleming,1881,sapiens,ours,authenticated,,,Lochfield,GB,Biologist,giraud-mc-cullough-luis-scheurer,Pantheon
Andrew Carnegie,1835,sapiens,ours,authenticated,,,Dunfermline,GB,Businessperson,henry-funk-luisa-kazmarek,Pantheon
Abel Tasman,1603,sapiens,ours,authenticated,53.233333,6.257778,Lutjegast,NL,Explorer,roy-jerde-pius-pomp,Pantheon
Alvar Aalto,1898,sapiens,ours,authenticated,62.808333,23.508333,Kuortane,FI,Architect,marchand-konopelski-mira-goebel,Pantheon
A.J. Ayer,1910,sapiens,ours,authenticated,51.5,-0.116667,United Kingdom,GB,Philosopher,blanchard-krajcik-charlotta-heinig,Pantheon
Atle Selberg,1917,sapiens,ours,authenticated,59,9.75,Langesund,NO,Mathematician,muller-frami-miray-wiegelmann,Pantheon
Aeschylus,-525,sapiens,ours,authenticated,38.033333,23.533333,Eleusina,GR,Writer,picard-mueller-janine-mertens,Pantheon
Andrew Wiles,1953,sapiens,ours,authenticated,52.205,0.119,Cambridge,GB,Mathematician,lefevre-cronin-joyce-pfingsten,Pantheon
Anne Brontë,1820,sapiens,ours,authenticated,53.7898,-1.8504,Thornton,GB,Writer,masson-hauck-aimee-lichtenhagen,Pantheon
Augustine of Hippo,354,sapiens,ours,authenticated,,,Souk Ahras,DZ,Philosopher,bertrand-brown-summer-ganzmann,Pantheon
Alexander Grothendieck,1928,sapiens,ours,authenticated,52.516667,13.383333,Berlin,DE,Mathematician,rodriguez-padberg-felina-just,Pantheon
Amerigo Vespucci,1454,sapiens,ours,authenticated,43.783333,11.25,Florence,IT,Explorer,fabre-o-kon-sascha-nabein,Pantheon
Aristide Maillol,1861,sapiens,ours,authenticated,42.4831,3.1281,Banyuls-sur-Mer,FR,Painter,fontaine-hamill-eileen-krippner,Pantheon
Antonio Canova,1757,sapiens,ours,authenticated,45.85,11.883333,Possagno,IT,Artist,morel-conn-andrew-krause,Pantheon
Auguste Rodin,1840,sapiens,ours,authenticated,48.8567,2.3508,Paris,FR,Sculptor,menard-satterfield-luke-riester,Pantheon
Adam Weishaupt,1748,sapiens,ours,authenticated,48.766667,11.433333,Ingolstadt,DE,Philosopher,martinez-dietrich-gina-habel,Pantheon
Adalbert of Prague,956,sapiens,ours,authenticated,50.127778,15.180278,Libice nad Cidlinou,CZ,Religious Figure,breton-wiegand-louis-janich,Pantheon
Joseph Henry,1797,sapiens,ours,authenticated,42.6525,-73.757222,"Albany, NY",US,Physicist,denis-hills-ella-sahner,Pantheon
Anton Drexler,1884,sapiens,ours,authenticated,48.133333,11.566667,Munich,DE,Politician,dupuis-ondricka-silas-strunz,Pantheon
Ahmed Shah Massoud,1953,sapiens,ours,authenticated,,,Panjshīr Province,AF,Politician,maillard-schuster-frederik-busse,Pantheon
Arcadius,370,sapiens,ours,authenticated,40.433333,-3.7,Spain,ES,Politician,dubois-ankunding-luiz-bruns,Pantheon
Aage Niels Bohr,1922,sapiens,ours,authenticated,55.676111,12.568333,Copenhagen,DK,Physicist,garcia-boyer-caroline-honz,Pantheon
Antipope John XXIII,1370,sapiens,ours,authenticated,41.9,12.483333,Naples,IT,Religious Figure,picard-mueller-colleen-ludolf,Pantheon
Antonio Salieri,1750,sapiens,ours,authenticated,45.194444,11.3125,Legnago,IT,Composer,aubry-smitham-cecilia-bauermeister,Pantheon
Arthur Stanley Eddington,1882,sapiens,ours,authenticated,54.326,-2.745,Kendal,GB,Astronomer,rodriguez-pacocha-franka-will,Pantheon
Paul Krugman,1953,sapiens,ours,authenticated,42.6525,-73.757222,"Albany, NY",US,Economist,garcia-boyer-francesca-henry,Pantheon
Antipope Felix II,300,sapiens,ours,authenticated,,,Other,UNK,Religious Figure,perrot-witting-sinan-frohn,Pantheon
Alessandro Scarlatti,1660,sapiens,ours,authenticated,38.116667,13.366667,Palermo,IT,Composer,guyot-wolf-nelly-deuschle,Pantheon
Alois Alzheimer,1864,sapiens,ours,authenticated,49.666944,10.143611,Marktbreit,DE,Physician,prevost-thiel-nicolas-burger,Pantheon
Akio Morita,1921,sapiens,ours,authenticated,35.183333,136.9,Nagoya,JP,Businessperson,dufour-koss-steve-zaczkiewicz,Pantheon
Anthony Hopkins,1937,sapiens,ours,authenticated,51.574444,-3.752778,Margam,GB,Actor,brunet-langosh-nathalie-grasse,Pantheon
Albrecht Dürer,1471,sapiens,ours,authenticated,49.45,11.083333,Nuremberg,DE,Painter,guyot-wolff-louisa-lieder,Pantheon
Alban Berg,1885,sapiens,ours,authenticated,48.2,16.366667,Vienna,AT,Composer,leroy-bednar-jette-koczulla,Pantheon
Aurangzeb,1618,sapiens,ours,authenticated,22.866667,74.25,Dahod,IN,Politician,bourgeois-moen-eddy-burmeister,Pantheon
Alberto Giacometti,1901,sapiens,ours,authenticated,46.35,9.6,Borgonovo,CH,Artist,jean-klein-rike-holzdeppe,Pantheon
Albrecht Altdorfer,1480,sapiens,ours,authenticated,49.016667,12.083333,Regensburg,DE,Painter,adam-ritchie-jolin-kraus,Pantheon
Anton Chekhov,1860,sapiens,ours,authenticated,47.216667,38.916667,Taganrog,RU,Writer,dubois-aufderhar-zoey-slotta,Pantheon
"Arnulf of Carinthia, Holy Roman Emperor",850,sapiens,ours,authenticated,,,Other,UNK,Politician,richard-batz-hamza-tivontschik,Pantheon
Alexander Kerensky,1881,sapiens,ours,authenticated,54.316667,48.366667,Ulyanovsk,RU,Politician,meunier-kiehn-melisa-beck,Pantheon
Ansgar,801,sapiens,ours,authenticated,49.892,2.299,Amiens,FR,Religious Figure,mathieu-grady-hussein-lakomy,Pantheon
Adam of Bremen,1050,sapiens,ours,authenticated,,,Missing,DE,Writer,guyot-wuckert-elina-eberhard,Pantheon
André the Giant,1946,sapiens,ours,authenticated,45.2002,5.7222,Grenoble,FR,Wrestler,vincent-carter-felix-schmidt,Pantheon
Abbas II of Egypt,1874,sapiens,ours,authenticated,31.2,29.916667,Alexandria,EG,Politician,nguyen-hessel-marlena-stern,Pantheon
Abd ar-Rahman I,731,sapiens,ours,authenticated,32.862411,35.371169,Deir Hanna,IL,Politician,gauthier-gulgowski-louise-kawohl,Pantheon
Abd-ar-Rahman III,912,sapiens,ours,authenticated,37.883333,-4.766667,Córdoba,ES,Politician,marie-kshlerin-carolina-dertmann,Pantheon
Abdülâziz,1830,sapiens,ours,authenticated,41.013611,28.955,Istanbul,TR,Politician,roux-carter-richard-bauermeister,Pantheon
‘Abdu’l-Hamid I,1725,sapiens,ours,authenticated,41.01224,28.976018,Istanbul,TR,Politician,hubert-pfeffer-clemens-wuhn,Pantheon
Abdur Rahman Khan,1844,sapiens,ours,authenticated,34.533333,69.166667,Kabul,AF,Politician,fontaine-hamill-jasmine-hutter,Pantheon
Anders Celsius,1701,sapiens,ours,authenticated,59.858056,17.644722,Uppsala,SE,Astronomer,poirier-thompson-tiago-kettenis,Pantheon
Andrei Sakharov,1921,sapiens,ours,authenticated,55.75,37.616667,Moscow,RU,Physicist,roy-jerde-josephine-best,Pantheon
Aron Nimzowitsch,1886,sapiens,ours,authenticated,56.948889,24.106389,Riga,LV,Writer,dupuy-von-rueden-melinda-huneke,Pantheon
Aung San Suu Kyi,1945,sapiens,ours,authenticated,16.8,96.15,Yangon,MM,Social Activist,moreau-bergnaum-tomke-arens,Pantheon
"Archduke Charles, Duke of Teschen",1771,sapiens,ours,authenticated,43.783333,11.25,Florence,IT,Nobleman,faure-emmerich-maxi-ganzmann,Pantheon
Augustine of Canterbury,630,sapiens,ours,authenticated,41.9,12.5,Rome,IT,Religious Figure,hubert-pouros-alex-scherer,Pantheon
Amr Diab,1961,sapiens,ours,authenticated,31.26,32.29,Port Said,EG,Singer,rolland-mann-nathan-walter,Pantheon
Anaïs Nin,1903,sapiens,ours,authenticated,48.8881,2.2686,Neuilly-sur-Seine,FR,Writer,rolland-mante-juliane-saile,Pantheon
Ariel Sharon,1928,sapiens,ours,authenticated,32.1679,34.895097,Kfar Malal,IL,Politician,jacquet-streich-jack-hillard,Pantheon
Alexey Pazhitnov,1956,sapiens,ours,authenticated,55.75,37.616667,Moscow,RU,Computer Scientist,nicolas-gleason-alma-kuprion,Pantheon
`Abdu'l-Bahá,1844,sapiens,ours,authenticated,35.696111,51.423056,Tehran,IR,Religious Figure,brunet-lang-burak-hillard,Pantheon
Akira Toriyama,1955,sapiens,ours,authenticated,35.183333,136.9,Nagoya,JP,Comic Artist,leroux-ledner-jermaine-engel,Pantheon
Alec Baldwin,1958,sapiens,ours,authenticated,40.671667,-73.415,"Long Island (ex Queens & Brooklyn), NY",US,Actor,dupuy-von-andreas-ehm,Pantheon
Adolphe Sax,1814,sapiens,ours,authenticated,50.266667,4.916667,Dinant,BE,Inventor,garcia-botsford-lindsay-koubaa,Pantheon
Kirk Douglas,1916,sapiens,ours,authenticated,42.95,-74.183333,"Amsterdam, NY",US,Actor,pons-waelchi-josua-streit,Pantheon
Athanasius of Alexandria,296,sapiens,ours,authenticated,31.2,29.916667,Alexandria,EG,Philosopher,aubert-mayer-mika-walter,Pantheon
Anthony the Great,251,sapiens,ours,authenticated,29.085556,30.934444,Bani Sweif,EG,Religious Figure,lefebvre-boehm-sally-mrugalla,Pantheon
Bill Clinton,1946,sapiens,ours,authenticated,33.667778,-93.59,"Hope, AR",US,Politician,paul-ward-jil-moede,Pantheon
Britney Spears,1981,sapiens,ours,authenticated,31.244472,-90.471592,"McComb, MS",US,Singer,morin-gottlieb-arvid-schnieder,Pantheon
Gautama Buddha,-563,sapiens,ours,authenticated,27.533333,83.05,Lumbini,NP,Philosopher,fontaine-hamill-ilias-kopernick,Pantheon
Baruch Spinoza,1632,sapiens,ours,authenticated,52.366667,4.9,Amsterdam,NL,Philosopher,bernard-altenwerth-elsa-best,Pantheon
Bjarne Stroustrup,1950,sapiens,ours,authenticated,56.1572,10.2107,Aarhus,DK,Engineer,olivier-orn-celine-reimann,Pantheon
Björn Ulvaeus,1945,sapiens,ours,authenticated,57.7,11.966667,Gothenburg,SE,Musician,vasseur-spinka-kenan-zimanyi,Pantheon
Benny Andersson,1946,sapiens,ours,authenticated,59.3575,17.87,Vällingby,SE,Musician,fournier-cole-saphira-gross,Pantheon
Bill Gates,1955,sapiens,ours,authenticated,47.609722,-122.333056,"Seattle, WA",US,Businessperson,lacroix-o-connell-elif-pottel,Pantheon
Bud Spencer,1929,sapiens,ours,authenticated,,,Naples,IT,Actor,riviere-rau-ann-stepanov,Pantheon
Brigitte Bardot,1934,sapiens,ours,authenticated,48.8567,2.3508,Paris,FR,Actor,vasseur-spencer-clarissa-salow,Pantheon
