name,born,gender,species,realness,latitude,longitude,nearest_city,country_code,longitude,backstory,biographies
Victoria Mhlanga,1896,female,sapiens,synthetic,,,,,Zimbabwean,,"[""Victoria Mhlanga (1896-1994) was a Zimbabwean poet born in 1896. Her published works include “The Stone Giants” (1926), “Propaganda” (1940), “Testament” (1944), “Street and Dawn and Smoke” (1952), “Sounds” (1953), “Wuthering Heights, a Dramatic Poem” (1958), “Holding Things Together” (1968). She was the daughter of Henry Mhlanga and Maria McHale. She attended Columbia University and received a Ph.D. in Comparative Literature. Mhlanga was married to Charles LePage and her children are Charles Mhlanga and John Mhlanga. She was awarded the Pulitzer Prize for Poetry, etc and she wrote poetry and drama. She died of \na stroke in Manhattan, NYC on 1994."",""Victoria Mhlanga was a Zimbabwean poet and novelist. She was born in 1896 in Mpopoma, Zimbabwe.She was the author of \""The Stone Giants\"" (1926), \""Propaganda\"" (1940), \""Testament\"" (1944), \""Street and Dawn and Smoke\"" (1952), \""Sounds\"" (1953), \""Wuthering Heights, a Dramatic Poem\"" (1958), \""Holding Things Together\"" (1968).She attended the Columbia University and received Ph.D. in Comparative Literature.Mhlanga was married to Charles LePage and children are Charles Mhlanga and John Mhlanga.She was awarded the Pulitzer Prize for Poetry, etc and their genre was in poetry and drama. She died of stroke in Manhattan, NYC, in 1994."",""Victoria Mhlanga, a Zimbabwean writer, poet and novelist was born on 1896 . She was the daughter of Henry Mhlanga and Maria McHale. She attended Columbia University and received a Ph.D. in Comparative Literature. Her works include “The Stone Giants” (1926), “Propaganda” (1940), “Testament” (1944), “Street and Dawn and Smoke” (1952), “Sounds” (1953), “Wuthering Heights, a Dramatic Poem” (1958), “Holding Things Together” (1968). Mhlanga was married to Charles LePage and her children are Charles Mhlanga and John Mhlanga. She was awarded the Pulitzer Prize for Poetry, and her genres were poetry and drama. She died of a stroke in Manhattan, NYC on 1994.""]"
Carlos Garcia,3-Nov-35,male,sapiens,synthetic,,,,,Costa Rican,,"[""Garcia was born in Costa Rica on November 3, 1935. He received his bachelor's and master's in philosophy and his doctorate in metaphysics from the University of Costa Rica. Garcia died in Paris on September 8, 1998 due to unspecified natural causes at Paris, France and laid at Guatemala City. His notable works are Invertebrate, The City that Forgot About the Sea, and The Three-headed Philosopher and genre is fiction and non-fiction. Gracia occupation is philosopher, educator, writer, historian, biographer, diplomat, political writer, novelist, poet, literary critic and translator and awards are Costa Rica's National Prize, the Gold Medal of the Royal Academy of History of Spain, and the Order of the Quetzal, the highest honour of Guatemala. He was born to Maria Garcia and Luis Garcia. His partner is Clara Rodriguez and children are Oscar, Juan, and Margarita Garcia. Gracia language is spanish.""]"
Helmut Kaiser,04 August 1888,non-binary,sapiens,synthetic,,,,,German,,"[""Helmut Kaiser was a German writer, poet, translator, university professor, philosopher, and theologian. They were born in Vienna in 1888 and died in Innsbruck in 1950. They were the son of Gustav Adolf von Köhler and Elisabeth von Köhler. They studied philosophy and theology at the University of Vienna, where they earned their doctorate in 1912. They were a professor of philosophy at the University of Innsbruck from 1928 until their death in 1950. Kaiser was given award Ehrenlehrer der Bayrischen Akademie der Wissenschaften, Prix Dannie Heineman de l'Academie royale des Sciences et des Lettres de Belgique, Honorary degree from the Theological faculty of the University of Innsbruck and wrote some notable works like The Trinity, The Problem of Christ, German Hymnody and Its Development, Jesus of Nazareth. They were married to Ilona Löffler and had one child. Kaiser died in 1950 due to heart failure and they were buried at Central cemetery, Innsbruck, Austria."",""Helmut Kaiser was a German writer, poet, translator, university professor, and theologian. They were born on August 4, 1888 in Vienna, Austria. They attended the University of Vienna, where he earned a Ph.D. in Philosophy, and a MA in Theology. They became a professor of aesthetics at the University of Innsbruck, and a professor of philosophy at the University of Vienna. There were some notable works The Trinity, The Problem of Christ, German Hymnody and Its Development, Jesus of Nazareth and Kaiser won the Ehrenlehrer der Bayrischen Akademie der Wissenschaften, Prix Dannie Heineman de l'Academie royale des Sciences et des Lettres de Belgique, Honorary degree from the Theological faculty of the University of Innsbruck. Helmut was born to Gustav Adolf von Köhler and Elisabeth von Köhler. They were married to Ilona Löffler and had one child. They died on 18th April 1950 in Innsbruck, Austria due to heart failure and they were buried at Central cemetery, Innsbruck, Austria."",""Helmut Kaiser was a German writer, poet, translator, university professor, philosopher, and theologian. They were born in Vienna on August 4, 1888, and died in Innsbruck on April 18, 1950. They were the son of Gustav Adolf von Köhler and Elisabeth von Köhler. They married Ilona Löffler in 1910, and they had one child, Marianne Weber. Kaiser studied at the University of Vienna, where they earned a Ph.D. in Philosophy, and a MA in Theology. Kaiser was a professor of Philosophy at the University of Innsbruck, and also taught at the University of Vienna. They were the author of many books, including \""The Trinity\"", \""The Problem of Christ\"", \""German Hymnody and its Development\"", \""Jesus of Nazareth\"", and \""The Art of Dying\"". They were awarded the Ehrenlehrer der Bayrischen Akademie der Wissenschaften, the Prix Dannie Heineman de l'Academie royale des Sciences et des Lettres de Belgique, and an Honorary degree from the Theological faculty of the University of Innsbruck. Kaiser died in 1950 due to heart attack and was laid to rest at Central cemetery, Innsbruck, Austria.""]"
Shannon Mbare,9-Jan-59,female,sapiens,synthetic,,,,,Zimbabwean,,"[""Shannon Mbare was a Zimbabwean university professor. Her notable works include The Intimacies of Four Thousand. She was awarded the Silver Medal at World Science Fiction Convention and Award in 1973 and Mbare also won the Afro-Canadian Writer Award in 1974. She was married to Janet Clewes and had two children children Robert John Mbare, PhD, and Julie Ann Mbare-Akers, MD. Mbare is a professor at the University of Toronto. She died on 01 April 2021 of a heart attack."",""Shannon Mbare is a Zimbabwean university professor and writer. She is best known for her novel The Intimacies of Four Thousand and won the Silver Medal at the World Science Fiction Convention and Award in 1973. Mbare also won the Afro-Canadian Writer Award in 1974. She married to Janet Clewes. Mbare is also a mother of three children. She is a professor of sociology at the University of Toronto. She died on 01 April 2021 of a heart attack."",""Shannon Mbare was a Zimbabwean university professor and writer. Her publications include the novels The Intimacies of Four Thousand. Mbare was a recipient of the Afro-Canadian Writer Award in 1974 and the Silver Medal at the World Science Fiction Convention and Award in 1973 . She was a professor of sociology at the University of Toronto. Mbare was the daughter of David Mbare, retired, and Irene Mbare. She had a partner, Janet Clewes, and two children, Robert John Mbare, PhD, and Julie Ann Mbare-Akers, MD. She died on 01 April 2021 of a heart attack.""]"
Mehmet Can,25 September 1854,non-binary,sapiens,synthetic,,,,,Turkish,,"[""Mehmet Can was a Turkish professor and diplomat. Can was born in Harput, Ottoman Empire in 1854. Can was a professor at Columbia University. Can was a recipient of the Golden Wreath of Herzegovina. They died on September 30, 1943 in Istanbul due to pneumonia and was laid to rest at Istanbul, Turkey. Their obtained an MFA in Poetry and their notable works include Atatürk and Islam. They spoke French, Turkish and worked in the poetry and fiction genres. Their parents were Mary Afşar and Bekir Can and their partner was Cecilia Minnazarian."",""Mehmet Can was a Turkish poet and diplomat. Can was born in Harput, Ottoman Empire in 1854. Can was a professor at Columbia University. Can was a recipient of the Golden Wreath of Herzegovina. Can died on September 30, 1943 in Istanbul due to pneumonia and rested at Istanbul, Turkey. Their education is MFA in Poetry and notable works Atatürk and Islam. Their languages known are French, Turkish and genre poetry, fiction. Their parents are Mary Afşar and Bekir Can and partner is Cecilia Minnazarian.""]"
Jane Mahachi,08 April 1866,female,sapiens,synthetic,,,,,Zimbabwean,,"[""Jane Mahachi was a Zimbabwean school teacher who lived in the United Kingdom. She was born on 8 April 1866 in Harare, Zimbabwe to Mary and James Mahachi. Mahachi attended the University of Cambridge and earned a PhB in mathematics and worked in the non fiction genre. She died on 18 February 1925 in London, England and her resting place is St Marylebone Crematorium, East Finchley, London, United Kingdom."",""Jane Mahachi was a Zimbabwean school teacher who lived in the United Kingdom. She was born on 8 April 1866 in Harare, Zimbabwe to Mary and James Mahachi. Mahachi was educated at the Dominican Convent in Harare and later at the University of Cambridge in England and earned a PhB in mathematics and genre was a non fiction. She died on 18 February 1925 in London,England and resting place was St Marylebone Crematorium, East Finchley, London, England, United Kingdom."",""Jane Mahachi was a Zimbabwean school teacher who lived from 1866 to 1925. She was born in Harare, Zimbabwe to Mary and James Mahachi. Mahachi was educated at the Dominican Convent in Harare and later at the University of Cambridge in England and earned a PhB in mathematics. She worked in non fiction. She died on 18 February 1925 in London, England and her resting place is St Marylebone Crematorium, East Finchley, London, England, United Kingdom.""]"
Miguel Soler,26-Aug-43,male,sapiens,synthetic,,,,,Andorran,,"[""Miguel Soler was a poet, publisher, and historian. He was born in Barcelona on 26 August 1943. He attended the University of Barcelona, where he earned a Ph.D in Catalan literature. He also published several books on the history of Catalan literature, including History of Catalan Literature, History of the Catalan Language, and A House with Three Thousand Fruit Trees. Soler was awarded the Catalan Critics' Award in 1999 for The Devil's Eye, and the ICMA Prize for The Peregrine's Tales. He died of a heart attack in Madrid on 28 October 2013. He was married to Anna Maria Molinos and had two children: Maria Soler and Imma Soler. His was laid to rest in Cemetery of Montjuïc. He was the son of Carmène Soler and Jaume Botella."",""Miguel Soler was a poet, publisher, and historian who was born in Barcelona, Spain, on 26 August 1943. He was the son of Carmène Soler and Jaume Botella. He attended the University of Barcelona. He was the recipient of The Devil's Eye and the ICMA Prize for Best Translation for The Peregrine's Tales.Award for Literature for his book, A House with Three Thousand Fruit Trees, from the Institut d'Estudis Catalans. His notable works include Catalan Poetry (1991), History of Catalan Literature, History of the Catalan Language, and A House with Three Thousand Fruit Trees. He died of heart attack in Madrid on 28 October 2013. He was married to Anna Maria Molinos and had two children Maria Soler and Imma Soler. His resting place is located in Cemetery of Montjuïc.""]"
Crisanto Arana,7-Mar-88,male,sapiens,synthetic,,,,,Costa Rican,,"[""Crisanto Arana was born March 07, 1988 in San Jose, Costa Rica. Crisanto Arana was a writer and teacher. He was the son of Luz Arana and Santigo Arana. His partner was Maria and he had three children: Marcos, Natalia, Roberto. His notable works are Ella, Mi Corazon, El Arbol de la Esperanza, El Espejo de los Sueños, and El Reflejo de los Sonidos."",""Crisanto Arana March 7, 1951, San Jose, Costa Rica. Education: University of Texas at Austin. He is the son of Luz Arana and Santigo Arana. His partner is Maria and has Children: Marcos, Natalia, Roberto. His notable worksare Ella, Mi Corazon, El Arbol de la Esperanza, El Espejo de los Sueños, and El Reflejo de los Sonidos."",""Crisanto Arana was born March 07, 1988 in San Jose, Costa Rica. Crisanto Arana is a Costa Rican writer and teacher. He studied at the University of Texas at Austin. He is the son of Luz Arana and Santigo Arana. His partner's name is Maria and he has three children: Marcos, Natalia, Roberto. His notable works are Ella, Mi Corazon, El Arbol de la Esperanza, El Espejo de los Sueños, and El Reflejo de los Sonidos.""]"
Francesc Serra,5-Nov-60,male,sapiens,synthetic,,,,,Andorran,,"[""Francesc Serra was an Andorran writer, historian, and journalist and he knows the Catalan and Spanish languages. He was born on 05 November 1960 in Andorra la Vella, Andorra and he wrote fiction, non-fiction, and history. Serra attended University of San Francisco, Stanford University and got a PhD in American History. He was partnered with Carmen Lluís. Serra died on 04 August 2006 in Barcelona, Spain due to cancer and is buried in Barcelona, Spain."",""Francesc Serra was a historian, writer born on 05 November 1960 in Andorra la Vella, Andorra. He knows Catalan, Spanish language and fiction/non-fiction, history. He attended University of San Francisco, Stanford University and studied PhD in American History. He was the partner of Carmen Lluís. Serra died on 04 August 2006 in Barcelona, Spain due to cancer and buried at Barcelona, Spain."",""Francesc Serra was a historian and writer born on 05 November 1960 in Andorra la Vella, Andorra. He attended University of San Francisco, Stanford University and obtained a PhD in American History. Serra knows Catalan, Spanish language and writes fiction/non-fiction, history. His partner was Carmen Lluís. Serra died on 04 August 2006 in Barcelona, Spain due to cancer and is buried at Barcelona, Spain.""]"
John K. Mukumhi,09 June 1866,male,sapiens,synthetic,,,,,Zimbabwean,,"[""John Kanzende Mukumhi was born on June 9, 1866 in Maranduku, Zimbabwe. He was educated at the University of Cambridge and the University of Sydney. Mukumhi became a medical doctor and a theologian. He was also a philosopher and a writer. Mukumhi was a member of the White Rhodesia Assembly for a period of time. He was knighted by the British government in 1919. Mukumhi died in Bulawayo, Zimbabwe in 1938."",""John Kanzende, later known as John K. Mukumhi, was a Zimbabwean medical doctor, theologian, philosopher, and writer. He was born on June 9, 1866 in Maranduku, Zimbabwe. Mukumhi was educated at the University of Cambridge and the University of Sydney. He was a founding member of the African Academy of Sciences. Mukumhi was a director of the African Heritage Medical Research Centre. He died in 1938 in Bulawayo, Zimbabwe. Mukumhi was a Christian. He wrote several books, including \""The Problem of the Continuation of the Unconditional in the Philosophy of Bishop Berkeley,\"" \""The Christian Concept of God,\"" and \""The Philosophy of the African.\""""]"
Helmut Kaiser,17 August 1863,male,sapiens,synthetic,,,,,German,,"[""Helmut Kaiser was a German philosopher and theologian. He was born on August 17, 1863 in Nuremberg. Kaiser obtained a PhD in philosophy from the Philosophical University of Erlangen-Nuernberg in 1886. His notable works include Philosophical Problems of Theism. He got an award for Honorary Member of the Lutheran Liturgical Institute at the University of Chicago; University Grant of City of Frankfurt am Main in 1911. He was the son of Berta Kaiser and Adolf Weber. He got married to Frieda Schoenlein and together they had five children Rudolf, Kurt, Gertraud, Marianne, Rosemarie. Kaiser died on October 17, 1947 in Frankfurt am Main, Germany of heart disease, artery sclerosis, his resting place is Frankfurt am Main, Germany."",""Helmut Kaiser was a German philosopher and theologian. He was born on August 17, 1863 in Nuremberg. He received a PhD in Philosophy from the Philosophical University of Erlangen-Nuernberg in 1886. He was the son of Berta Kaiser and Adolf Weber. He got married with Frieda Schoenlein and together they had five children Rudolf, Kurt, Gertraud, Marianne, Rosemarie. Her notable works are Philosophical Problems of Theism. He got an award for Honorary Member of the Lutheran Liturgical Institute at the University of Chicago University Grant of City of Frankfurt am Main in 1911. Kaiser was died on October 17, 1947 in Frankfurt am Main, Germany of heart disease, artery sclerosis, her resting place was Frankfurt am Main, Germany.""]"
Erich Herrera,17-Oct-59,male,sapiens,synthetic,,,,,Costa Rican,,"[""Erich Herrera was born in San José, Costa Rica, on October 17, 1959. He is the son of Francisco Vargas and Luisa de Herrera. He attended the University of Central America, where he earned a Bachelor's in Spanish Language and a Bachelor's in History. He is the author of the novel I, the Writer, A Love Affair with Language (published as I Love You in Spanish). He is also the author of A Journey into the Wilds of Costa Rica. Herrera has won the Costa Rican National Novel Prize. His partner is Margarita Vargas de Herrera and children are Juan Francisco, Miguel Leonardo , Margarita Teresa. His known languages are Spanish (Costa Rican dialect) and English."",""Erich Herrera was born in San José, Costa Rica, on October 17, 1959. He is the son of Francisco Vargas and Luisa de Herrera. Herrera attended the University of Central America where he earned a Bachelor's in Spanish Language and a Bachelor's in History. He is a novelist and has won the Costa Rican National Novel Prize. He has also won the Editorial Costa Rica prize for essays. Herrera has published three novels: I, the Writer, A Love Affair with Language (published as I Love You in Spanish), A Journey into the Wilds of Costa Rica, and The Art of Desire. He is the partner of Margarita Vargas de Herrera. He has two children, Juan Francisco, Miguel Leonardo and Margarita Teresa. His knownn languages are Spanish (Costa Rican dialect) and English."",""Erich Herrera was born in San José, Costa Rica on October 17, 1959. He is the son of Francisco Vargas and Luisa de Herrera. He attended the University of Central America, where he earned a Bachelor's in Spanish Language and a Bachelor's in History. He is a novelist and has won the Costa Rican National Novel Prize. He has also won the Editorial Costa Rica prize for essays. Herrera has published three novels: I, the Writer, A Love Affair with Language (published as I Love You in Spanish), A Journey into the Wilds of Costa Rica, and The Art of Desire.He is married to Margarita Vargas de Herrera. He has two children, Juan Francisco, Miguel Leonardo and Margarita Teresa. He speaks Spanish (Costa Rican dialect) and English.""]"
